doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,The,the,DET,ORG_B
text1,1,2,EU,EU,PROPN,ORG_I
text1,1,3,Commission,Commission,PROPN,ORG_I
text1,1,4,currently,currently,ADV,
text1,1,5,prepares,prepare,VERB,
text1,1,6,a,a,DET,
text1,1,7,legislative,legislative,ADJ,
text1,1,8,package,package,NOUN,
text1,1,9,to,to,PART,
text1,1,10,fight,fight,VERB,
text1,1,11,sexual,sexual,ADJ,
text1,1,12,abuse,abuse,NOUN,
text1,1,13,of,of,ADP,
text1,1,14,children,child,NOUN,
text1,1,15,.,.,PUNCT,
text1,2,1,The,the,DET,
text1,2,2,draft,draft,NOUN,
text1,2,3,is,be,AUX,
text1,2,4,soon,soon,ADV,
text1,2,5,to,to,PART,
text1,2,6,be,be,AUX,
text1,2,7,presented,present,VERB,
text1,2,8,and,and,CCONJ,
text1,2,9,in,in,ADP,
text1,2,10,part,part,NOUN,
text1,2,11,covers,cover,VERB,
text1,2,12,the,the,DET,
text1,2,13,dissemination,dissemination,NOUN,
text1,2,14,of,of,ADP,
text1,2,15,child,child,NOUN,
text1,2,16,sexual,sexual,ADJ,
text1,2,17,abuse,abuse,NOUN,
text1,2,18,material,material,NOUN,
text1,2,19,(,(,PUNCT,
text1,2,20,CSAM,CSAM,PROPN,ORG_B
text1,2,21,),),PUNCT,
text1,2,22,via,via,ADP,
text1,2,23,the,the,DET,
text1,2,24,internet,internet,NOUN,
text1,2,25,.,.,PUNCT,
text1,3,1,Additionally,additionally,ADV,
text1,3,2,",",",",PUNCT,
text1,3,3,the,the,DET,
text1,3,4,directive,directive,NOUN,
text1,3,5,aims,aim,VERB,
text1,3,6,at,at,ADP,
text1,3,7,targeting,target,VERB,
text1,3,8,private,private,ADJ,
text1,3,9,and,and,CCONJ,
text1,3,10,encrypted,encrypted,ADJ,
text1,3,11,communication,communication,NOUN,
text1,3,12,",",",",PUNCT,
text1,3,13,such,such,ADJ,
text1,3,14,as,as,ADP,
text1,3,15,that,that,PRON,
text1,3,16,on,on,ADP,
text1,3,17,messenger,messenger,NOUN,
text1,3,18,services,service,NOUN,
text1,3,19,.,.,PUNCT,
text1,4,1,Critics,critic,NOUN,
text1,4,2,declare,declare,VERB,
text1,4,3,this,this,DET,
text1,4,4,form,form,NOUN,
text1,4,5,of,of,ADP,
text1,4,6,preemptive,preemptive,ADJ,
text1,4,7,mass,mass,NOUN,
text1,4,8,surveillance,surveillance,NOUN,
text1,4,9,not,not,PART,
text1,4,10,only,only,ADV,
text1,4,11,a,a,DET,
text1,4,12,threat,threat,NOUN,
text1,4,13,to,to,ADP,
text1,4,14,privacy,privacy,NOUN,
text1,4,15,",",",",PUNCT,
text1,4,16,(,(,PUNCT,
text1,4,17,cyber)security,cyber)security,NOUN,
text1,4,18,and,and,CCONJ,
text1,4,19,the,the,DET,
text1,4,20,right,right,NOUN,
text1,4,21,to,to,ADP,
text1,4,22,freedom,freedom,NOUN,
text1,4,23,of,of,ADP,
text1,4,24,expression,expression,NOUN,
text1,4,25,but,but,CCONJ,
text1,4,26,as,as,ADP,
text1,4,27,danger,danger,NOUN,
text1,4,28,to,to,ADP,
text1,4,29,democracy,democracy,NOUN,
text1,4,30,in,in,ADP,
text1,4,31,general,general,ADJ,
text1,4,32,.,.,PUNCT,
text3,1,1,#,#,SYM,
text3,1,2,#,#,NOUN,MONEY_B
text3,1,3,At,at,ADP,
text3,1,4,a,a,DET,
text3,1,5,glance,glance,NOUN,
text3,1,6,:,:,PUNCT,
text5,1,1,-,-,PUNCT,
text5,1,2,What,what,PRON,
text5,1,3,are,be,AUX,
text5,1,4,Commission,Commission,PROPN,ORG_B
text5,1,5,and,and,CCONJ,
text5,1,6,Council,Council,PROPN,
text5,1,7,Presidency,Presidency,PROPN,
text5,1,8,planning,planning,NOUN,
text5,1,9,?,?,PUNCT,
text6,1,1,-,-,PUNCT,
text6,1,2,How,how,SCONJ,
text6,1,3,could,could,AUX,
text6,1,4,this,this,DET,
text6,1,5,measures,measure,NOUN,
text6,1,6,be,be,AUX,
text6,1,7,implemented,implement,VERB,
text6,1,8,technically,technically,ADV,
text6,1,9,?,?,PUNCT,
text7,1,1,-,-,PUNCT,
text7,1,2,In,in,ADP,
text7,1,3,concrete,concrete,ADJ,
text7,1,4,terms,term,NOUN,
text7,1,5,:,:,PUNCT,
text7,1,6,What,what,PRON,
text7,1,7,does,do,AUX,
text7,1,8,„,„,PUNCT,
text7,1,9,chat,chat,NOUN,
text7,1,10,control,control,NOUN,
text7,1,11,“,"""",PUNCT,
text7,1,12,mean,mean,VERB,
text7,1,13,?,?,PUNCT,
text8,1,1,-,-,PUNCT,
text8,1,2,Is,be,AUX,
text8,1,3,this,this,DET,
text8,1,4,system,system,NOUN,
text8,1,5,possibly,possibly,ADV,
text8,1,6,expandable,expandable,VERB,
text8,1,7,at,at,ADP,
text8,1,8,a,a,DET,
text8,1,9,later,later,ADJ,
text8,1,10,stage,stage,NOUN,
text8,1,11,?,?,PUNCT,
text9,1,1,-,-,PUNCT,
text9,1,2,Is,be,AUX,
text9,1,3,that,that,DET,
text9,1,4,proposal,proposal,NOUN,
text9,1,5,even,even,ADV,
text9,1,6,legal,legal,ADJ,
text9,1,7,?,?,PUNCT,
text10,1,1,-,-,PUNCT,
text10,1,2,What,what,DET,
text10,1,3,actions,action,NOUN,
text10,1,4,can,can,AUX,
text10,1,5,I,I,PRON,
text10,1,6,take,take,VERB,
text10,1,7,to,to,PART,
text10,1,8,protest,protest,VERB,
text10,1,9,against,against,ADP,
text10,1,10,the,the,DET,
text10,1,11,draft,draft,NOUN,
text10,1,12,?,?,PUNCT,
text12,1,1,#,#,SYM,
text12,1,2,#,#,NOUN,MONEY_B
text12,2,1,What,what,PRON,
text12,2,2,plans,plan,VERB,
text12,2,3,EU,EU,PROPN,ORG_B
text12,2,4,Commission,Commission,PROPN,ORG_I
text12,2,5,and,and,CCONJ,
text12,2,6,the,the,DET,
text12,2,7,Council,Council,PROPN,ORG_B
text12,2,8,Presidency,Presidency,PROPN,
text12,2,9,have,have,VERB,
text12,2,10,?,?,PUNCT,
text14,1,1,Olivier,Olivier,PROPN,PERSON_B
text14,1,2,Onidi,Onidi,PROPN,PERSON_I
text14,1,3,",",",",PUNCT,
text14,1,4,Deputy,Deputy,PROPN,
text14,1,5,Director,Director,PROPN,
text14,1,6,General,General,PROPN,
text14,1,7,for,for,ADP,
text14,1,8,Home,Home,PROPN,ORG_B
text14,1,9,Affairs,Affairs,PROPN,ORG_I
text14,1,10,",",",",PUNCT,
text14,1,11,outlined,outline,VERB,
text14,1,12,the,the,DET,ORG_B
text14,1,13,EU,EU,PROPN,ORG_I
text14,1,14,Commission,Commission,PROPN,ORG_I
text14,1,15,’s,’s,PART,ORG_I
text14,1,16,ambitions,ambition,NOUN,
text14,1,17,in,in,ADP,
text14,1,18,a,a,DET,
text14,1,19,meeting,meeting,NOUN,
text14,1,20,of,of,ADP,
text14,1,21,the,the,DET,ORG_B
text14,1,22,Joint,Joint,PROPN,ORG_I
text14,1,23,Parliamentary,Parliamentary,PROPN,ORG_I
text14,1,24,Scrutiny,Scrutiny,PROPN,ORG_I
text14,1,25,Group,Group,PROPN,ORG_I
text14,1,26,.,.,PUNCT,
text14,2,1,According,accord,VERB,
text14,2,2,to,to,ADP,
text14,2,3,Onidi,Onidi,PROPN,ORG_B
text14,2,4,",",",",PUNCT,
text14,2,5,the,the,DET,
text14,2,6,proposal,proposal,NOUN,
text14,2,7,is,be,AUX,
text14,2,8,an,an,DET,
text14,2,9,attempt,attempt,NOUN,
text14,2,10,to,to,PART,
text14,2,11,include,include,VERB,
text14,2,12,all,all,DET,
text14,2,13,means,mean,NOUN,
text14,2,14,of,of,ADP,
text14,2,15,communication,communication,NOUN,
text14,2,16,in,in,ADP,
text14,2,17,its,its,PRON,
text14,2,18,scope,scope,NOUN,
text14,2,19,.,.,PUNCT,
text14,3,1,The,the,DET,
text14,3,2,actual,actual,ADJ,
text14,3,3,value,value,NOUN,
text14,3,4,added,add,VERB,
text14,3,5,by,by,ADP,
text14,3,6,the,the,DET,
text14,3,7,proposal,proposal,NOUN,
text14,3,8,would,would,AUX,
text14,3,9,be,be,AUX,
text14,3,10,„,„,PUNCT,
text14,3,11,to,to,PART,
text14,3,12,cover,cover,VERB,
text14,3,13,all,all,DET,
text14,3,14,forms,form,NOUN,
text14,3,15,of,of,ADP,
text14,3,16,communication,communication,NOUN,
text14,3,17,",",",",PUNCT,
text14,3,18,including,include,VERB,
text14,3,19,private,private,ADJ,
text14,3,20,communication,communication,NOUN,
text14,3,21,“,"""",PUNCT,
text14,3,22,Onidi,Onidi,PROPN,ORG_B
text14,3,23,replied,reply,VERB,
text14,3,24,to,to,ADP,
text14,3,25,a,a,DET,
text14,3,26,question,question,NOUN,
text14,3,27,from,from,ADP,
text14,3,28,MEP,MEP,PROPN,PERSON_B
text14,3,29,Patrick,Patrick,PROPN,PERSON_I
text14,3,30,Breyer,Breyer,PROPN,PERSON_I
text14,3,31,(,(,PUNCT,
text14,3,32,Pirates,Pirates,PROPN,ORG_B
text14,3,33,/,/,SYM,ORG_I
text14,3,34,Green,Green,PROPN,ORG_I
text14,3,35,Parliamentary,Parliamentary,PROPN,ORG_I
text14,3,36,Group,Group,PROPN,ORG_I
text14,3,37,),),PUNCT,
text14,3,38,.,.,PUNCT,
text14,4,1,It,it,PRON,
text14,4,2,has,have,AUX,
text14,4,3,been,be,AUX,
text14,4,4,Beyer,Beyer,PROPN,ORG_B
text14,4,5,who,who,PRON,
text14,4,6,gave,give,VERB,
text14,4,7,the,the,DET,
text14,4,8,Commission,Commission,PROPN,ORG_B
text14,4,9,’s,’s,PART,
text14,4,10,plans,plan,VERB,
text14,4,11,the,the,DET,
text14,4,12,name,name,NOUN,
text14,4,13,„,„,PUNCT,
text14,4,14,Chat,Chat,PROPN,WORK_OF_ART_B
text14,4,15,Control,Control,PROPN,WORK_OF_ART_I
text14,4,16,“,"""",PUNCT,
text14,4,17,.,.,PUNCT,
text16,1,1,Originally,originally,ADV,
text16,1,2,",",",",PUNCT,
text16,1,3,the,the,DET,
text16,1,4,presentation,presentation,NOUN,
text16,1,5,of,of,ADP,
text16,1,6,the,the,DET,
text16,1,7,explosive,explosive,ADJ,
text16,1,8,draft,draft,NOUN,
text16,1,9,was,be,AUX,
text16,1,10,scheduled,schedule,VERB,
text16,1,11,for,for,ADP,
text16,1,12,December,December,PROPN,DATE_B
text16,1,13,1,1,NUM,DATE_I
text16,1,14,but,but,CCONJ,
text16,1,15,has,have,AUX,
text16,1,16,since,since,SCONJ,
text16,1,17,disappeared,disappear,VERB,
text16,1,18,from,from,ADP,
text16,1,19,the,the,DET,
text16,1,20,Commission,Commission,PROPN,ORG_B
text16,1,21,’s,’s,PART,
text16,1,22,calendar,calendar,NOUN,
text16,1,23,.,.,PUNCT,
text16,2,1,Upon,upon,SCONJ,
text16,2,2,request,request,NOUN,
text16,2,3,",",",",PUNCT,
text16,2,4,a,a,DET,
text16,2,5,spokesperson,spokesperson,NOUN,
